wikidata_qid,birth_date,birth_place_raw,birth_country_raw,wd_birth_date,wd_birth_place_raw,wd_birth_country_raw
Q167408,,,,,,
Q1190454,,,,,,
Q121898080,,,,+1997-04-10T00:00:00Z,,
Q15059517,,,,+1979-08-22T00:00:00Z,,
Q15059539,,,,,,
Q15501574,,,,+1911-01-01T00:00:00Z,,
Q16106162,,,,+1943-04-29T00:00:00Z,,
Q2136456,,,,+1921-04-19T00:00:00Z,,
Q2569670,,,,+1953-01-01T00:00:00Z,,
Q4051252,,,,,,
Q45203642,,,,+1925-11-09T00:00:00Z,,
Q4799725,,,,+1904-08-28T00:00:00Z,,
Q5180733,,,,+1954-09-07T00:00:00Z,,
Q5199913,,,,+1976-10-19T00:00:00Z,,
Q5552802,,,,+1948-01-01T00:00:00Z,,
Q575242,,,,+1915-08-05T00:00:00Z,,
Q612497,,,,+1930-07-18T00:00:00Z,,
Q6208483,,,,+1965-06-13T00:00:00Z,,
Q6520773,,,,+1957-02-20T00:00:00Z,,
Q6775283,,,,+1949-09-29T00:00:00Z,,
Q7125446,,,,+1953-06-23T00:00:00Z,,
Q7408631,,,,+1878-10-31T00:00:00Z,,
Q7619410,,,,+1929-12-24T00:00:00Z,,
Q84169024,,,,+1985-04-17T00:00:00Z,,
Q4936440,,,,,,
Q16728341,,,,,,
Q27680921,,,,,,
Q4804359,,,,,,
Q16731589,,,,,Knoxville,United States
Q7441355,,,,,,
Q315547,,,,+1967-10-26T00:00:00Z,Whangārei,New Zealand
Q30322692,,,,,,
Q26258465,,,,,Colorado Springs,
Q6779346,,,,,County Meath,Ireland
Q656291,,,,,,
Q7742642,,,,,,
Q4952081,,,,,,
Q3539042,,,,,,
Q7719600,,,,,,
Q5142585,,,,,,
Q116411,,,,,,
Q19668633,,,,+1946-03-12T00:00:00Z,,
Q6801551,,,,,,
Q3522116,,,,,,
Q7346801,,,,,,
Q1181027,,,,+1935-08-31T00:00:00Z,,
Q23945369,,,,+1930-03-29T00:00:00Z,,
Q4888552,,,,+1927-06-06T00:00:00Z,,
Q18608779,,,,+1986-09-06T00:00:00Z,Patiala,India
Q2654275,,,,+1986-11-21T00:00:00Z,Pembury,United Kingdom
Q11257180,,,,+1993-03-14T00:00:00Z,,
Q119240938,,,,,,
Q122781212,,,,+1996-10-15T00:00:00Z,,
Q123849564,,,,+1964-02-02T00:00:00Z,,
Q124827215,,,,+1986-01-01T00:00:00Z,,
Q22278258,,,,+1962-08-04T00:00:00Z,,
Q25702824,,,,+1949-00-00T00:00:00Z,,
Q28405386,,,,+1990-04-03T00:00:00Z,,
Q4792152,,,,+1945-03-01T00:00:00Z,,
Q5228846,,,,+1961-04-24T00:00:00Z,,
Q5300434,,,,+1926-01-01T00:00:00Z,,
Q6263724,,,,+1970-01-07T00:00:00Z,,
Q7105225,,,,+1935-02-21T00:00:00Z,,
Q7540617,,,,+1910-07-14T00:00:00Z,,
Q7681581,,,,+1968-02-07T00:00:00Z,,
Q97784092,,,,+1904-06-24T00:00:00Z,,
Q7358941,,,,+1962-06-15T00:00:00Z,,
Q2161573,,,,+2000-01-01T00:00:00Z,,
Q108670654,,,,,Maniwaki,
Q1662265,,,,,,
Q16960029,,,,,,
Q6375621,,,,,,
Q104851422,,,,+1936-01-01T00:00:00Z,,
Q117751496,,,,+1939-01-01T00:00:00Z,,
Q16197685,,,,+1950-00-00T00:00:00Z,,
Q7139162,,,,,,
Q8063730,,,,,,
Q5115824,,,,,,
Q7355102,,,,,,
Q7297128,,,,+1942-07-02T00:00:00Z,,
Q7376269,,,,+1923-01-01T00:00:00Z,,
Q15461582,,,,+1927-09-26T00:00:00Z,,
Q5686357,,,,+1956-05-07T00:00:00Z,,
Q5603138,,,,,,
Q5496757,,,,+1922-02-23T00:00:00Z,,
Q83688407,,,,+1954-08-18T00:00:00Z,,
Q22279571,,,,,,
Q104117399,,,,+1995-07-31T00:00:00Z,,
Q5310388,,,,+2000-00-00T00:00:00Z,,
Q6243938,,,,+1969-12-22T00:00:00Z,,
Q5560526,,,,+1968-01-08T00:00:00Z,,
Q7803692,,,,,,
Q136890298,,,,,,
Q16732396,,,,,Foreglen,United Kingdom
Q3522525,,,,,,
Q117458025,,,,,,
Q115492454,,,,,,
Q7335199,,,,,,
Q7741171,,,,,,
Q4639085,,,,,,
Q742028,,,,,,
Q33497,,,,,,
Q160636,,,,,,
Q173,,,,,,
Q6509272,,,,,,
Q26855331,,,,,,
Q27908754,,,,,,
Q6520578,,,,,,
Q21278780,,,,,,
Q24075525,,,,,,
Q22080338,,,,,,
Q20858359,,,,,,
Q20998375,,,,,,
Q1037729,,,,,,
Q537223,,,,,,
Q349592,,,,,,
Q7083856,,,,,,
Q1906137,,,,,,
Q7573964,,,,,,
Q2885136,,,,,,
Q907113,,,,,,
Q1219137,,,,,,
Q12707,,,,,,
Q1694155,,,,,,
Q2092297,,,,,,
Q1699853,,,,,,
Q372001,,,,,,
Q26905796,,,,,,
Q119730000,,,,,,
Q116886701,,,,,,
Q16731298,,,,+1993-09-00T00:00:00Z,Hanover County,United States
Q17916987,,,,+1984-11-09T00:00:00Z,Kernersville,United States
Q322275,,,,+1925-12-03T00:00:00Z,Missouri,United States
Q1278287,,,,+1982-04-12T00:00:00Z,Trenton,United States
Q1761995,,,,+1975-12-18T00:00:00Z,Lake,United States
Q252589,,,,+1929-10-04T00:00:00Z,Missouri,United States
Q18648718,,,,+1978-12-31T00:00:00Z,Mesquite,United States
Q118727718,,,,+1991-01-01T00:00:00Z,,
Q119294575,,,,+1995-07-03T00:00:00Z,Oklahoma,United States
Q121391237,,,,+1992-06-30T00:00:00Z,United States,United States
Q15059524,,,,+1942-00-00T00:00:00Z,New York City,United States
Q15059528,,,,+1979-00-00T00:00:00Z,Mississippi,United States
Q2035379,,,,,,
Q24852566,,,,+1947-00-00T00:00:00Z,Corpus Christi,United States
Q323547,,,,+1957-03-10T00:00:00Z,California,United States
Q37885320,,,,,,
Q5047626,,,,+1965-01-01T00:00:00Z,,
Q5058072,,,,+1957-01-01T00:00:00Z,,
Q5209703,,,,+1967-00-00T00:00:00Z,,
Q539654,,,,+1980-12-22T00:00:00Z,"Washington, D.C.",United States
Q1138616,,,,+1964-07-17T00:00:00Z,Kingston Springs,United States
Q12337181,,,,+1988-01-01T00:00:00Z,New Jersey,United States
Q13561983,,,,+1995-07-07T00:00:00Z,Tulsa,United States
Q1383580,,,,+2000-01-01T00:00:00Z,Arkansas,United States
Q15059537,,,,+1969-01-01T00:00:00Z,Semora,United States
Q1575585,,,,+1918-02-15T00:00:00Z,Santa Rosa County,United States
Q16013072,,,,+1948-06-26T00:00:00Z,Red Shirt,United States
Q1683952,,,,+1978-06-13T00:00:00Z,Houston,United States
Q1702419,,,,+1918-02-06T00:00:00Z,Arkansas,United States
Q1725938,,,,+1923-04-06T00:00:00Z,Sugarville,United States
Q17519461,,,,+1952-01-01T00:00:00Z,Long Island,United States
Q21284974,,,,+1983-01-18T00:00:00Z,Florida,United States
Q21872417,,,,+1980-05-18T00:00:00Z,Arkansas,United States
Q2363400,,,,+1925-07-19T00:00:00Z,Missouri,United States
Q2492614,,,,+1870-10-07T00:00:00Z,Tennessee,United States
Q464387,,,,+1936-03-09T00:00:00Z,Oklahoma,United States
Q5762568,,,,+1976-01-01T00:00:00Z,Washington,United States
Q606120,,,,+1892-04-06T00:00:00Z,Virginia,United States
Q122538354,,,,+1993-01-01T00:00:00Z,California,United States
Q1095428,,,,+1894-06-26T00:00:00Z,North Carolina,United States
Q1961462,,,,+1999-12-14T00:00:00Z,Florida,United States
Q7619416,,,,+1977-01-01T00:00:00Z,Taft,United States
Q104206358,,,,,,
Q104251179,,,,,,
Q106867369,,,,+1989-01-01T00:00:00Z,,
Q111445272,,,,+1982-01-01T00:00:00Z,,
Q116893855,,,,+1957-01-01T00:00:00Z,,
Q124047308,,,,,,
Q131610999,,,,+2000-10-16T00:00:00Z,,
Q138633912,,,,+1977-01-01T00:00:00Z,,
Q15059532,,,,+1973-00-00T00:00:00Z,Corpus Christi,United States
Q20684260,,,,+1946-00-00T00:00:00Z,,
Q24005490,,,,+1976-07-03T00:00:00Z,,
Q6263811,,,,+1902-04-12T00:00:00Z,"Washington, D.C.",United States
Q6389216,,,,+1965-00-00T00:00:00Z,Gainesville,United States
Q6414684,,,,+1966-01-01T00:00:00Z,Nashville,United States
Q6485455,,,,+1967-02-03T00:00:00Z,,
Q6531120,,,,+1962-01-01T00:00:00Z,,
Q6763580,,,,+1954-05-04T00:00:00Z,Louisville,United States
Q6763626,,,,+1944-01-01T00:00:00Z,,
Q6789016,,,,+1985-00-00T00:00:00Z,,
Q6801801,,,,+1995-01-06T00:00:00Z,,
Q6808731,,,,+1996-01-01T00:00:00Z,Portland,United States
Q68866747,,,,+1986-00-00T00:00:00Z,Tyler,United States
Q7028455,,,,+1979-09-22T00:00:00Z,,
Q7325227,,,,+1942-03-19T00:00:00Z,Tyler,United States
Q7422458,,,,+1979-00-00T00:00:00Z,,
Q7436874,,,,+1968-05-20T00:00:00Z,Swoope,United States
Q7561724,,,,+1978-12-01T00:00:00Z,,
Q7680845,,,,+1971-04-20T00:00:00Z,Maryland,United States
Q7681604,,,,+1966-01-01T00:00:00Z,Tennessee,United States
Q862843,,,,+1906-02-01T00:00:00Z,,
Q884164,,,,+1881-07-03T00:00:00Z,Georgia,United States
Q887765,,,,+1914-05-11T00:00:00Z,Kentucky,United States
Q969629,,,,+1933-10-27T00:00:00Z,Shreveport,United States
Q13561743,,,,+1995-03-28T00:00:00Z,Lawrenceville,United States
Q13561870,,,,+1985-09-30T00:00:00Z,Norman,United States
Q13561967,,,,+1982-05-27T00:00:00Z,Refugio,United States
Q16198157,,,,+1987-07-29T00:00:00Z,Morongo Valley,United States
Q16233016,,,,+1989-01-01T00:00:00Z,Nebo,United States
Q306505,,,,+1918-04-04T00:00:00Z,Pennsylvania,United States
Q3267125,,,,+1977-01-01T00:00:00Z,Arkansas,United States
Q101658304,,,,+1973-01-01T00:00:00Z,Ventura,
Q865001,,,,+1901-05-16T00:00:00Z,Rosine,United States
Q101129416,,,,,,
Q27802191,,,,+1985-01-01T00:00:00Z,,
Q29034170,,,,+1952-01-01T00:00:00Z,,
Q6499136,,,,+1960-01-01T00:00:00Z,Lincoln,United States
Q7422570,,,,+1995-00-00T00:00:00Z,,
Q8022626,,,,+1967-01-01T00:00:00Z,Reno,United States
Q5622379,,,,+1951-01-01T00:00:00Z,,
Q1238955,,,,+1937-08-26T00:00:00Z,Lubbock,United States
Q1386971,,,,+1909-03-03T00:00:00Z,Georgia,United States
Q7704463,,,,+1956-04-30T00:00:00Z,"Washington, D.C.",United States
Q18637628,,,,+1991-10-02T00:00:00Z,Maryville,United States
Q12988590,,,,+1988-00-00T00:00:00Z,Jacksonville,United States
Q7859991,,,,+1993-01-01T00:00:00Z,Hattiesburg,United States
Q16192961,,,,+1958-07-04T00:00:00Z,Richards,United States
Q18211754,,,,+1981-08-27T00:00:00Z,Savannah,United States
Q1282834,,,,+1926-01-01T00:00:00Z,Tennessee,United States
Q7327330,,,,+1951-01-01T00:00:00Z,"Washington, D.C.",United States
Q120986980,,,,+1999-10-22T00:00:00Z,,
Q126843,,,,+1920-03-10T00:00:00Z,Conasauga,United States
Q2408290,,,,+2000-01-01T00:00:00Z,,
Q4685548,,,,+1978-03-12T00:00:00Z,,
Q81423657,,,,+1914-05-09T00:00:00Z,Arthur,United States
Q7372985,,,,+1956-12-17T00:00:00Z,Nashville,United States
