artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
,"Eddy Arnold, The Tennessee Plowboy and His Guitar",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,eddy arnold the tennessee plowboy and his guitar,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Red Foley and the Cumberland Valley Boys,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red foley and the cumberland valley boys,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Margaret Whiting, Jimmy Wakely",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,margaret whiting jimmy wakely,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Margaret Whiting and Jimmy Wakely,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,margaret whiting and jimmy wakely,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Red Foley, Ernest Tubb",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red foley ernest tubb,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Wilma Lee Cooper and Stoney Cooper,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,wilma lee cooper and stoney cooper,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Adam Wakefield,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,adam wakefield,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,David Houston and Barbara Mandrell,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,david houston and barbara mandrell,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Kitty Wells, Red Foley",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,kitty wells red foley,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Lewis Pruitt,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,lewis pruitt,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Marshmello and Kane Brown,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,marshmello and kane brown,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Red Sovine, Webb Pierce",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red sovine webb pierce,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Simon Crum,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,simon crum,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Tennessee Ernie,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,tennessee ernie,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Tex Williams and The Western Caravan,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,tex williams and the western caravan,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Wilma Lee and Stoney Cooper,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,wilma lee and stoney cooper,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Adrian Roland,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,adrian roland,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Alan Riddle[1][2],,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,alan riddle 1 2,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Andrews Sisters and Ernest Tubb,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,andrews sisters and ernest tubb,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Anita Carter Hank Snow,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,anita carter hank snow,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Artists of Then, Now & Forever",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,artists of then now and forever,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Bebe Rexha & Florida Georgia Line,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bebe rexha and florida georgia line,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Betty Foley[1],,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,betty foley 1,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Big & Rich featuring Tim McGraw,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,big and rich featuring tim mcgraw,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,BigXthaPlug featuring Bailey Zimmerman,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bigxthaplug featuring bailey zimmerman,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,BigXthaPlug featuring Ella Langley,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bigxthaplug featuring ella langley,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Bill Leatherwood,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bill leatherwood,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Bob Wills and Tommy Duncan,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bob wills and tommy duncan,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Bobby Bare and Bobby Bare, Jr.",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bobby bare and bobby bare jr,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Brantley Gilbert and Lindsay Ell,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,brantley gilbert and lindsay ell,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Bud Logan and Wilma Burgess,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,bud logan and wilma burgess,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Carly Pearce & Lee Brice,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,carly pearce and lee brice,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Carly Pearce and Ashley McBryde,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,carly pearce and ashley mcbryde,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Chris Young and Kane Brown,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,chris young and kane brown,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Clyde Beavers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,clyde beavers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Cody Johnson and Carrie Underwood,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,cody johnson and carrie underwood,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Cole Swindell and Lainey Wilson,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,cole swindell and lainey wilson,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,David Lee Murphy & Kenny Chesney,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,david lee murphy and kenny chesney,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Delmore Brothers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,delmore brothers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Diplo, Jessie Murph and Polo G",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,diplo jessie murph and polo g,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Eddy Arnold, Hugo Winterhalter",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,eddy arnold hugo winterhalter,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Elle King & Miranda Lambert,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,elle king and miranda lambert,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Elmer Snodgrass,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,elmer snodgrass,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Ernest Tubb and Loretta Lynn,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,ernest tubb and loretta lynn,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Ernest Tubb and The Wilburn Brothers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,ernest tubb and the wilburn brothers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Everly Brothers,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,everly brothers,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Faron Young and Margie Singleton,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,faron young and margie singleton,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Garth Brooks & Huey Lewis,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,garth brooks and huey lewis,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Garth Brooks and Blake Shelton,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,garth brooks and blake shelton,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Gene Autry and the Pinafores,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,gene autry and the pinafores,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Gene Woods,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,gene woods,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Ginny Wright, Jim Reeves",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,ginny wright jim reeves,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Ginny Wright, Tom Tall",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,ginny wright tom tall,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Goldie Hill, Justin Tubb",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,goldie hill justin tubb,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Hoosier Hot Shots and Two Ton Baker,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,hoosier hot shots and two ton baker,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Hoyt Axton and Renee Armand,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,hoyt axton and renee armand,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
